timestamp,buys,clicks
4/1/14,7093,220872
4/2/14,5757,211495
4/3/14,6642,223702
4/4/14,4983,165630
4/5/14,6650,180876
4/6/14,11303,312974
4/7/14,7292,239043
4/8/14,5902,179555
4/9/14,6455,202836
4/10/14,5700,184023
4/11/14,3858,126438
4/12/14,5720,155628
4/13/14,9388,305382
4/14/14,6506,265090
4/15/14,4872,190776
4/16/14,5094,157538
4/17/14,3419,108397
4/18/14,4452,154294
4/19/14,3435,106011
4/20/14,4979,167032
4/21/14,6789,239873
4/22/14,37,208588
4/23/14,6251,203029
4/24/14,6541,198235
4/25/14,5098,144800
4/26/14,8112,180269
4/27/14,12193,350504
4/28/14,6583,257429
4/29/14,4141,184027
4/30/14,3474,149025
5/1/14,4159,162578
5/2/14,3728,150304
5/3/14,5146,146648
5/4/14,8540,271647
5/5/14,3562,128157
5/6/14,156,8001
5/7/14,5049,191778
5/8/14,5039,193172
5/9/14,4251,139663
5/10/14,8533,175114
5/11/14,15737,323783
5/12/14,16734,337757
5/13/14,7612,200820
5/14/14,6144,191478
5/15/14,5347,178878
5/16/14,4529,127844
5/17/14,5646,136673
5/18/14,10471,274357
5/19/14,7284,232635
5/20/14,57,185931
5/21/14,5390,175351
5/22/14,5327,163180
5/23/14,4133,139713
5/24/14,4428,140230
5/25/14,6867,251730
5/26/14,6062,251787
5/27/14,133,10603
5/28/14,5342,181128
5/29/14,4969,171519
5/30/14,4446,143181
5/31/14,6392,158789
6/1/14,10854,317601
6/2/14,8365,296899
6/3/14,84,10563
6/4/14,4951,202546
6/5/14,4583,187778
6/6/14,3450,125494
6/7/14,4021,118835
6/8/14,6829,212520
6/9/14,8327,246295
6/10/14,6779,238588
6/11/14,6527,226478
6/12/14,6480,200067
6/13/14,4225,139728
6/14/14,5494,151732
6/15/14,8974,262795
6/16/14,5877,203821
6/17/14,35,8276
6/18/14,4454,137357
6/19/14,4138,126974
6/20/14,3921,117126
6/21/14,5328,130542
6/22/14,10836,263183
6/23/14,7002,204955
6/24/14,131,8465
6/25/14,4965,158077
6/26/14,4597,136286
6/27/14,3812,108517
6/28/14,7018,129297
6/29/14,12387,262712
6/30/14,6827,193518
7/1/14,32,6928
7/2/14,4139,142256
7/3/14,3547,111314
7/4/14,2615,76363
7/5/14,5093,107319
7/6/14,9681,196246
7/7/14,6758,182377
7/8/14,76,8520
7/9/14,5415,172649
7/10/14,5553,164338
7/11/14,4433,121250
7/12/14,6593,134913
7/13/14,10201,222615
7/14/14,5499,189703
7/15/14,42,8991
7/16/14,5562,161261
7/17/14,5441,158160
7/18/14,4616,115160
7/19/14,6241,118169
7/20/14,11139,240352
7/21/14,8759,266232
7/22/14,80,9623
7/23/14,5787,182724
7/24/14,5967,186748
7/25/14,4594,134847
7/26/14,5153,134265
7/27/14,8528,258907
7/28/14,6692,245352
7/29/14,355,52652
7/30/14,5165,172050
7/31/14,4760,151772
8/1/14,3797,113359
8/2/14,5340,122375
8/3/14,11137,243361
8/4/14,9841,244243
8/5/14,532,57973
8/6/14,6628,175642
8/7/14,7264,184093
8/8/14,5746,141451
8/9/14,9334,191516
8/10/14,18269,393950
8/11/14,12421,348631
8/12/14,412,72298
8/13/14,7711,240548
8/14/14,7645,239105
8/15/14,7043,184754
8/16/14,9854,187867
8/17/14,16403,358344
8/18/14,11323,362134
8/19/14,410,78523
8/20/14,9091,261071
8/21/14,9921,256916
8/22/14,8125,189176
8/23/14,9754,202887
8/24/14,13812,328787
8/25/14,9141,306222
8/26/14,334,60942
8/27/14,6083,220475
8/28/14,5952,199295
8/29/14,5591,148084
8/30/14,8962,166730
8/31/14,20034,365789
9/1/14,13358,326860
9/2/14,441,55470
9/3/14,366,60312
9/4/14,8138,203255
9/5/14,6693,154637
9/6/14,4043,97536
9/7/14,16642,393589
9/8/14,11462,338077
9/9/14,408,65939
9/10/14,8512,253237
9/11/14,1698,77038
9/12/14,7570,196823
9/13/14,11684,240777
9/14/14,16567,389276
9/15/14,9095,320013
9/16/14,355,53941
9/17/14,5602,176526
9/18/14,5841,164240
9/19/14,5104,121196
9/20/14,9053,171537
9/21/14,19477,326405
9/22/14,12893,272782
9/23/14,362,44413
9/24/14,7537,188687
9/25/14,7490,180986
9/26/14,6142,135716
9/27/14,4414,122198
9/28/14,981,66239
9/29/14,1142,78597
9/30/14,54,2220